title;author;year;genre;pages;description
Tokyo Blues;Haruki Murakami;1987;Novela/Coming-of-age;400;Un hombre de 37 años recuerda su juventud en Tokio, amores perdidos y la búsqueda de identidad en los años 60.
Vida de un loco. Akutagawa;Ryunosuke Akutagawa;1927;Autobiografía/Cuentos;150;Cuentos autobiográficos que exploran la enfermedad mental, el aislamiento y la creatividad del autor.
Amazonia-China;Óscar Calavia;2012;Ensayo;144 ;
Un secuestro de película;Enrique Páez;1995;Juvenil/Infantil;128;
Eclipse de sol;Albert Lijanov;1977;Juvenil/Recuentos de la vida;157;
Tao te Ching;Lao Tse;Siglo IV a.C.;Filosofía/Espiritual;81;Texto fundamental del taoísmo sobre armonía con el Tao (camino), virtud del no actuar y simplicidad.
El discreto;Baltasar Gracián;1646;Aforismos/Filosofía;200;Manual sobre discreción, prudencia y conducta inteligente para destacar en sociedad sin provocar envidia.
7 hábitos de la gente altamente efectiva;Stephen R. Covey;1989;Autoayuda/Liderazgo;432;Presenta siete principios para el desarrollo personal y profesional basados en la ética del carácter.
De la firmeza del sabio;Séneca;c. 55 d.C.;Filosofía/Estoicismo;70;Ensaje sobre la imperturbabilidad del sabio estoico frente a la adversidad y las opiniones ajenas.
El arte de tener la razón;Arthur Schopenhauer;1831;Filosofía/Retórica;150;Tratado sobre dialéctica erística: 38 estratagemas para ganar debates, independientemente de la verdad.
De la ira;Séneca;c. 45 d.C.;Filosofía/Estoicismo;120;Análisis de la ira como pasión destructiva y cómo el sabio debe evitarla mediante la razón y el autocontrol.
El hombre en busca de sentido;Viktor Frankl;1946;Psicología/Autobiografía;165;Psiquiatra sobrevive a campos de concentración y desarrolla la logoterapia: la búsqueda de sentido como fuerza motriz.
El poder de las tinieblas;León Tolstói;1886;Teatro/Drama;120;Drama rural sobre corrupción moral, adulterio y asesinato en la Rusia campesina del siglo XIX.
El príncipe;Nicolás Maquiavelo;1532;Política/Filosofía;140;Tratado político sobre cómo obtener y mantener el poder, pragmático y amoral, dirigido a un gobernante.
Relato de un náufrago;Gabriel García Márquez;1970;Reportaje/Novela;142;Historia real de un marinero colombiano que sobrevivió 10 días a la deriva, crítica velada a la dictadura.
Así habló Zarathustra;Friedrich Nietzsche;1883;Filosofía/Poético;352;Obra filosófica-poética que introduce conceptos como el Superhombre, la muerte de Dios y el eterno retorno.
Lord Edgware Dies;Agatha Christie;1933;Misterio;256;Hercule Poirot investiga el asesinato de Lord Edgware, cuya esposa, una actriz, había declarado públicamente su deseo de matarlo.
Kafka en la orilla;Haruki Murakami;2002;Novela/Realismo mágico;608;Historia paralela de un adolescente fugitivo y un anciano con habilidades especiales, en un Japón lleno de sueños y profecías.
Trece cartas a Dios;Ricardo Moreno;2015;Filosófico;112;
De la tranquilidad del ánimo;Séneca;c. 53 d.C.;Filosofía/Estoicismo;80;Ensayo sobre cómo mantener la serenidad interior frente a las preocupaciones y el caos exterior.
Come comida real;Carlos Ríos;2019;Alimentación;320;
Asesinato en el Orient Express;Agatha Christie;1934;Misterio;256;Hercule Poirot investiga un asesinato en el famoso tren, donde todos los pasajeros parecen tener motivos y coartadas sospechosas.
El sueño;L.M. Gonzalo;1991;Salud;156;
El método Kaizen;Robert Maurer;2004;Autoayuda/Productividad;160;Método de mejora continua mediante pequeños pasos para lograr cambios sostenibles en hábitos y objetivos.
El Principito;Antoine de Saint-Exupéry;1943;Fábula/Philosophical;96;Un piloto perdido en el desierto conoce a un príncipe de otro planeta, reflexionando sobre amor, amistad y sentido de la vida.
Cards on the table;Agatha Christie;1936;Misterio;272;Hercule Poirot investiga un asesinato durante una partida de bridge, donde los cuatro sospechosos son expertos en el juego.
Lógica viva;Carlos Vaz Ferreira;1945;Argumentación/lógica;291;
Cómo ser un estoico;Massimo Pigliucci;2017;Filosofía/Estoicismo;288;Introducción práctica al estoicismo usando la figura de Epicteto, aplicando sus enseñanzas a la vida moderna.
El reino de Kensuke;Michael Morpurgo;1999;Literatura infantil/AVentura;176;Un niño naufraga en una isla del Pacífico donde vive un anciano japonés misterioso, explorando amistad y supervivencia.
Príncipe y mendigo;Mark Twain;1881;Novela/Histórica;240;Un príncipe y un mendigo idénticos intercambian roles, satirizando las desigualdades sociales de la Inglaterra Tudor.
El cuerpo femenino;Anne de Kervasdoue;1993;Salud/divulgación;96;
La vuelta al mundo en 80 días;Jules Verne;1873;AVentura/Novela;320;Phileas Fogg apuesta que puede circunnavegar el globo en 80 días, enfrentando obstáculos con su fiel mayordomo.
De la vida bienaventurada;Séneca;c. 58 d.C.;Filosofía/Estoicismo;90;Ensayo sobre la verdadera felicidad, que reside en la virtud y la razón, no en placeres o riquezas externas.
En el enjambre;Byung-Chul Han;2013;Filosofía/Crítica social;120;Análisis de la sociedad digital y las redes sociales, donde la hiperconexión genera aislamiento y pérdida de privacidad.
La sociedad de la transparencia;Byung-Chul Han;2012;Filosofía/Crítica social;100;Crítica a la obsesión contemporánea por la transparencia, que elimina el misterio y favorece el control.
La sociedad del cansancio;Byung-Chul Han;2010;Filosofía/Crítica social;80;Describe la sociedad actual como víctima de un cansancio autoinfligido por la autoexplotación y el rendimiento.
1Q84 (libros 1 y 2);Haruki Murakami;2009;Novela/Realismo mágico;928;Una instructora de gimnasia y un aspirante a escritor se entrelazan en un mundo paralelo llamado 1Q84, con misterios y cultos.
1Q84 (libro 3);Haruki Murakami;2010;Novela/Realismo mágico;464;Conclusión de la épica historia, donde los destinos de Aomame y Tengo convergen en un enfrentamiento final.
Hasta que la muerte nos separe;Antonio Martos;2009;Novela;190;
10 razones para borrar tus redes sociales de inmediato;Jaron Lanier;2018;Tecnología/Crítica social;160;Argumentos sobre los efectos negativos de las redes en la democracia, economía y salud mental.
El asesinato de Roger Ackroyd;Agatha Christie;1926;Misterio;320;Hercule Poirot investiga el asesinato de un rico viudo en un pueblo inglés, con un famoso giro narrativo final.
Ideas y creencias;José Ortega y Gasset;1940;Filosofía/Ensayo;200;Distinción entre ideas (pensamientos elaborados) y creencias (fondos inconscientes que sostienen nuestra vida).
Padre rico padre pobre;Robert Kiyosaki;1997;Finanzas personales;336;Contraste entre dos mentalidades financieras: la de un padre tradicional y la de un padre emprendedor, enfatizando educación financiera.
El millonario de la puerta de al lado;Thomas J. Stanley;1996;Finanzas personales;258;Estudio de hábitos de millonarios estadounidenses: frugalidad, planificación y evitar apariencias costosas.
Los hermanos Karamazov;Fyodor Dostoyevsky;1880;Novela/Filosófica;796;Explora conflicto entre fe y razón, moral y libertad, a través de la historia de un parricidio en una familia rusa.
La caída de la casa de Usher (y otros);Edgar Allan Poe;1839;Cuentos/Terror;150;Colección de cuentos góticos que incluye el famoso sobre una familia maldita y una casa que se desmorona.
Tiempos líquidos;Zygmunt Bauman;2007;Sociología/Ensayo;150;Análisis de la modernidad líquida: relaciones, miedo e identidad en un mundo globalizado, cambiante e incierto.
Minimalismo digital;Cal Newport;2019;Tecnología/Autoayuda;304;Propone reducir el uso de tecnología digital a lo esencial para recuperar concentración y bienestar.
1984;George Orwell;1949;Distopía/Política;328;En un estado totalitario, Winston Smith desafía al sistema de vigilancia y control del Gran Hermano.
Rebelión en la granja;George Orwell;1945;Sátira/Política;112;Los animales de una granja se rebelan contra los humanos, pero la revolución degenera en una nueva tiranía.
El señor de las moscas;William Golding;1954;Novela/Allegórica;224;Un grupo de niños náufragos intenta organizarse, pero descienden a la barbarie y la violencia tribal.
Vida líquida;Zygmunt Bauman;2005;Sociología/Ensayo;160;Describe la fragilidad de los vínculos humanos en la modernidad líquida, donde todo es provisional y desechable.
El concepto de la angustia;Søren Kierkegaard;1844;Filosofía/Existencialismo;200;Análisis de la angustia como experiencia fundamental humana ligada a la libertad y posibilidad.
El ego es el enemigo;Ryan Holiday;2016;Autoayuda/Filosofía;226;Argumenta que el ego obstaculiza el éxito y propone cultivar humildad, disciplina y resiliencia.
Viaje al centro de la tierra;Jules Verne;1864;AVentura/Ciencia ficción;400;Un profesor y su sobrino descienden por un volcán hacia el interior de la Tierra, descubriendo mundos prehistóricos.
El obstáculo es el camino;Ryan Holiday;2014;Autoayuda/Estoicismo;224;Usa la filosofía estoica para mostrar cómo convertir obstáculos en oportunidades de crecimiento y éxito.
El mito de Sísifo;Albert Camus;1942;Filosofía/Existencialismo;160;Ensayo sobre el absurdo de la existencia y la respuesta de la rebelión, simbolizada por Sísifo condenado a empujar una roca eternamente.
El extranjero;Albert Camus;1942;Novela/Existencialismo;123;Meursault, indiferente ante la muerte de su madre y un asesinato, enfrenta juicio y existencia absurda.
El huésped;Stephenie Meyer;2008;Ciencia ficción/Romance;864;Una alienígena invasora ocupa el cuerpo de una humana y se enamora de su novio, en un mundo post-apocalíptico.
El misterioso caso de Styles;Agatha Christie;1920;Misterio;256;Primera aparición de Hercule Poirot, investigando el envenenamiento de la rica señora Inglethorp en una mansión.
La muerte feliz;Albert Camus;1971;Novela/Existencialismo;200;Primera novela de Camus sobre un hombre que busca la felicidad a través del asesinato y el dinero, temas de absurdo.
No-cosas;Byung-Chul Han;2021;Filosofía/Crítica social;120;Crítica a la digitalización que reemplaza las cosas físicas por información, vaciando la realidad y las relaciones.
Salud salvaje;Marcos Vázquez;2018;Salud;264;
Si esto es un hombre;Primo Levi;1947;Memoria/Historia;200;Testimonio del autor como superviviente de Auschwitz, reflexionando sobre la deshumanización en los campos.
Un mundo feliz;Aldous Huxley;1932;Distopía/Ciencia ficción;268;En una sociedad futura donde la estabilidad se logra mediante condicionamiento, drogas y eliminación de emociones fuertes.
Trafalgar (B.P. Galdós);Benito Pérez Galdós;1873;Novela histórica;250;Primer episodio nacional, recrea la batalla de Trafalgar desde la perspectiva de un niño testigo.
Nociones elementales de ajedrez;José Raúl Capablanca;1923;Divulgación/ajedrez;160;
Muerte en el Niño;Agatha Christie;1937;Novela negra;344;
De la providencia;Séneca;c. 64 d.C.;Filosofía/Estoicismo;60;Ensayo que defiende que los males son pruebas del destino para fortalecer al sabio, no castigos injustos.
Antifragil;Nassim Nicholas Taleb;2012;Economía/Filosofía;544;Concepto de sistemas que se benefician del estrés y el desorden (antifrágiles), más allá de la resiliencia.
Pierre et Jean;Guy de Maupassant;1888;Novela/Realismo;224;Dos hermanos descubren que uno es hijo ilegítimo, explorando celos, herencia y relaciones familiares en la burguesía francesa.
La revolución de la inteligencia;Luis Alberto Machado;1975;Pedagogia;159;
El camino de la soledad;Miyamoto Musashi;1645;Filosofía;1;
Your brain on porn;Gary Wilson;2014;Salud/Neurciencia;250;Explica los efectos neurológicos de la pornografía en internet, argumentando que puede crear adicción y dañar la sexualidad.
La comunicación no verbal;Flora Davis;1973;Sociología;320;
The brain that changes itself;Norman Doidge;2007;Neurociencia;440;Presenta casos de neuroplasticidad: el cerebro puede reorganizarse y recuperarse de daños o cambiar hábitos.,
Une bouteille dans la mer de Gaza;Valérie Zenatti;2005;Novela/Diario;192;Una joven israelí y un palestino intercambian emails tras lanzar una botella al mar, explorando conflicto y humanidad.
Un’avventura di viaggio;Marcel Brion(?);1966;Novela corta;15;
Martin Eden;Jack London;1909;Novela/Autobiográfica;400;Un marinero sin educación se esfuerza por convertirse en escritor y ganar el amor de una mujer de clase alta, crítica al sueño americano.
La Presentación de la persona en la vida cotidiana;Erving Goffman;1956;Sociología;272;Teoría de la interacción social como una representación teatral, donde gestionamos impresiones en distintos escenarios.
Invierte en ti;Natalia de Santiago;2021;Finanzas personales;240;
La caída;Albert Camus;1956;Novela/Existencialismo;147;Un ex abogado confiesa su hipocresía y culpa en un bar de Ámsterdam, explorando la condición humana y la moralidad.
El anticristo;Friedrich Nietzsche;1895;Filosofía/Polémica;100;Ataque feroz al cristianismo como religión de la debilidad y resentimiento, que niega los valores vitales.
Dos conceptos de libertad;Isaiah Berlin;1958;Filosofía/Política;100;Distinción entre libertad negativa (ausencia de interferencia) y positiva (capacidad de autogobierno).
El hombre más rico de babilonia;George S. Clason;1926;Finanzas personales/Fábula;144;Parábolas ambientadas en la antigua Babilonia que enseñan principios de ahorro, inversión y riqueza.
Hable menos y actúe más;Brian Tracy;2017;Autoayuda;120;
La economía en una lección;Henry Hazlitt;1946;Economía;218;Exposición de principios económicos básicos, enfatizando las consecuencias no intencionadas de las políticas a largo plazo.
La biblia del vendedor;Alex Dey;1998;Ventas/Motivación;250;Principios y técnicas de ventas, comunicación y persuasión para alcanzar el éxito en el ámbito comercial.
El arte de la buena vida;Willam B. Irving;2017;Filosofía;368;
Los 10 principios básicos del orden político liberal;Juan Ramón Rallo;2019;Política/Filosofía;272;
Los 4 acuerdos;Miguel Ruiz;1997;Espiritualidad/Autoayuda;160;Basado en sabiduría tolteca: cuatro principios para la libertad personal (sé impecable con tu palabra, no tomes nada personal, etc.).
Ten peor coche que tu vecino;Luis Pita;2021;Finanzas;176;
El gen egoísta;Richard Dawkins;1976;Ciencia/Divulgación;360;Expone la teoría del gen como unidad de selección natural, donde los organismos son vehículos para genes 'egoístas'.
Una habitación propia;Virginia Woolf;1929;Ensayo/Feminismo;172;Reflexión sobre la necesidad de independencia económica y espacio físico para que las mujeres escriban literatura.
La rebelión de las masas;José Ortega y Gasset;1930;Sociología/Filosofía;250;Análisis de la sociedad de masas y el hombre-masa que actúa sin criterio propio, amenazando la excelencia cultural.,
Falacias de la justicia social;Thomas Sowell;2024;Sociología;208;
Tratado sobre la tolerancia;Voltaire;1763;Filosofía/Ensayo;150;Defensa de la tolerancia religiosa y crítica al fanatismo, inspirado por el caso de ejecución injusta de Jean Calas.
El mito de la monogamia;David P. Barash, Judith Eve Lipton;2003;Ensayo/divulgación;391;
Seis lecciones sobre el capitalismo;Ludwig Von Mieses;1959;Economía;128;
El hombre contra el estado;Herbert Spencer;1884;Filosofía/Política;200;Defensa del liberalismo clásico y crítica al crecimiento del estado intervencionista, que amenaza la libertad individual.
Walden;Henry David Thoreau;1854;Ensayo/Autobiografía;320;Reflexión sobre vida simple en la naturaleza, autosuficiencia y crítica a la sociedad industrial y consumista.
Caminar;Henry David Thoreau;1862;Ensayo/Filosofía;50;Ensaje que celebra el acto de caminar como conexión con la naturaleza y rebelión contra las convenciones sociales.
El crepúsculo de los ídolos;Friedrich Nietzsche;1889;Filosofía/Polémica;160;Ataque a las 'ídolos' de la cultura occidental (Sócrates, cristianismo, moral tradicional) como decadentes.
El economista callejero;Axel Kaiser;2022;Economía;144;
Temor y temblor;Søren Kierkegaard;1843;Filosofía/Religión;150;Reflexión sobre la fe a través de la historia de Abraham e Isaac, explorando la paradoja de la relación individual con Dios.
La ciencia del sexo;Pére Stupinya;2023;Ciencia/psicología;288;
¿Qué hago con mi vida?;Po Bronson;2002;Autoayuda/Biografías;400;Historias reales de personas que buscaron sentido y cambio en sus carreras y vidas, motivando al lector a reflexionar.
Discriminación y disparidades;Thomas Sowell;2018;Economía/Sociología;192;Análisis de diferencias económicas entre grupos, argumentando que no todas se deben a discriminación sino a múltiples factores.,
El sabueso de los Baskerville;Arthur Conan Doyle;1902;Misterio/AVentura;256;Sherlock Holmes investiga la misteriosa muerte de un baronet, aparentemente relacionada con una leyenda de un perro infernal.
Angeli;Maurizio de Giovani;2022;Novela;280;
Invierte con poco;Natalia de Santiago;2022;Finanzas;320;
Sapiens: de animales a dioses;Yuval Noah Harari;2011;Historia/Divulgación;496;Recorrido por la historia humana desde la evolución hasta el presente, examinando revoluciones cognitiva, agrícola y científica.,
Basta ya de ser un Tipo Lindo;Robert Glover;2021;Autoayuda;229;
La energía nuclear salvará el mundo;Alfredo García;2021;Ensayo/divulgación;336;Divulgación sobre la seguridad y necesidad de adaptar la energía nuclear como la forma más importante de energía para el mundo.
